,Popularity,Title,URL,Year,Lyrics
20,8,All You Need is Love,http://www.metrolyrics.com/all-you-need-is-love-lyrics-beatles.html,2000,"Love, love, love
Love, love, love
Love, love, love
There's nothing you can do that can't be done
Nothing you can sing that can't be sung
Nothing you can say but you can learn how to play the game
It's easy
There's nothing you can make that can't be made
No one you can save that can't be saved
Nothing you can do but you can learn how to be you in time
It's easy
All you need is love
All you need is love
All you need is love, love
Love is all you need
(Love, love, love)
(Love, love, love)
(Love, love, love)
All you need is love
All you need is love
All you need is love, love
Love is all you need
There's nothing you can know that isn't known
Nothing you can see that isn't shown
There's nowhere you can be that isn't where you're meant to be
It's easy
All you need is love
All you need is love
All you need is love, love
Love is all you need
All you need is love, all together now
All you need is love, everybody
All you need is love, love
Love is all you need
Love is all you need
Love is all you need
Love is all you need..."
21,6,And I Love Her,http://www.metrolyrics.com/and-i-love-her-lyrics-beatles.html,1973,"I give her all my love
That's all I do
And if you saw my love
You'd love her too
I love her
She gives me everything
And tenderly
The kiss my lover brings
She brings to me
And I love her
A love like ours
Could never die
As long as I
Have you near me
Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her
Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her"
22,0,And I Love Her (Original Mono),http://www.metrolyrics.com/and-i-love-her-original-mono-lyrics-beatles.html,2006,"I give her all my love
That's all I do
And if you saw my love
You'd love her too
I love her
She gives me everything
And tenderly
The kiss my lover brings-s
She brings to me
And I love her
A love like ours
Could never die
As long as I
Have you near me
Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her
Bright are the stars that shine
Dark is the sky
I know this love of mine
Will never die
And I love her

"
23,3,And I Love Her (stereo),http://www.metrolyrics.com/and-i-love-her-stereo-lyrics-beatles.html,2006,"I give her all my love
That's all I do
And if you saw my love
You'd love her to
I love her
She gives my everything
And tenderly
The kiss my lover brings
She brings to me
And I love her
A love like ours
Could never die
As long as I
Have you near me
Bright are the stars that shine
Dark is the sky
I know this love of mine
will never die
And I love her
Bright are the stars that shine
Dark is the sky
I know this love of mine
will never die
And I love her, ooh"
24,3,And Your Bird Can Sing,http://www.metrolyrics.com/and-your-bird-can-sing-lyrics-beatles.html,1996,"Tell me that you've got everything you want
And your bird can sing
But you don't get me
You don't get
Me
You'll say you've seen seven wonders
And your bird is green
But you can't see me
You can't see
Me
When your prized possessions
Start to weigh you down
Look in my direction
I'll be 'round
I'll be 'round
When your bird is broken
Will it bring you down?
You may be awoken
I'll be 'round
I'll be 'round
You tell me that you heard every sound there is
And your bird can swing
But you can't hear me
You can't hear
Me"
25,4,Anna,http://www.metrolyrics.com/anna-lyrics-beatles.html,2006,"Anna, you come and ask me girl
To set you free, girl
You say he loves you more than me
So I will set you free
Go with him
(Anna)
Go with him
(Anna)
Anna, girl, before you go now
I want you to know now
That I still love you so
But if he loves you more
Go with him
All of my life
I've been searching for a girl
To love me like I love you
Oh, now
But every girl I've ever had
Breaks my heart and leaves me sad
What am I, what am I supposed to do?
Oh, oh, oh, oh, oh, oh
Anna, just one more thing girl
You give back your ring to me
And I will set you free
Go with him
All of my life
I've been searching for a girl
To love me like I love you
But let me tell you now
But every girl I've ever had
Breaks my heart and leaves me sad
What am I, what am I supposed to do?
Oh, oh, oh, oh, oh, oh
Anna, just one more thing girl
You give back your ring to me
And I will set you free
Go with him
(Anna)
Go with him
(Anna)
You can go with him girl
(Anna)
Go with him"
26,1,Anna (go To Him),http://www.metrolyrics.com/anna-go-to-him-lyrics-beatles.html,2014,"Anna
You come and ask me, girl
To set you free, girl
You say he loves you more than me
So I will set you free
Go with him (anna)
Go with him (anna)
Anna
Girl, before you go now
I want you to know now
That I still love you so
But if he loves you more
Go with him
All of my life
I've been searchin' for a girl
To love me like I love you
Oh, now... but every girl I've ever had
Breaks my heart and leaves me sad
What am I, what am I supposed to do?
Anna
Just one more thing, girl
You give back your ring to me
And I will set you free
Go with him
All of my life
I've been searchin' for a girl
To love me like I love you
But let me tell you now... but every girl I've ever had
Breaks my heart and leaves me sad
What am I, what am I supposed to do?
Anna
Just one more thing, girl
You give back your ring to me
And I will set you free
Go with him (anna)
Go with him (anna)
You can go with him, girl (anna)
Go with him"
27,0,Another Girl,http://www.metrolyrics.com/another-girl-lyrics-beatles.html,2014,"For I have got another girl
Another girl
You're making me say that I've got nobody but you
But as from today, well, I've got somebody that's new
I ain't no fool and I don't take what I don't want
For I have got another girl
Another girl
She's sweeter than all the girls, and I've met quite a few
Nobody in all the world can do what she can do
And so I'm telling you this time you'd better stop
For I have got another girl
Another girl who will love me till the end
Through thick and thin, she will always be my friend
I don't wanna say that I've been unhappy with you
But as from today, well, I've seen somebody that's new
I ain't no fool and I don't take what I don't want
For I have got another girl
Another girl who will love me till the end
Through thick and thin, she will always be my friend
I don't wanna say that I've been unhappy with you
But as from today, well, I've seen somebody that's new
I ain't no fool and I don't take what I don't want
For I have got another girl
Another girl
Another girl"
28,3,Any Time at All,http://www.metrolyrics.com/any-time-at-all-lyrics-beatles.html,2006,"Anytime at all
Anytime at all
Anytime at all
All you've gotta do is call
And I'll be there
If you need somebody to love
Just look into my eyes
I'll be there to make you feel right
If you're feeling sorry and sad, I'd really sympathize
Don't you be sad, just call me tonight
Anytime at all
Anytime at all
Anytime at all
All you gotta do is call
And I'll be there
If the sun has faded away
I'll try to make it shine
There is nothing I won't do
If you need a shoulder to cry on, I hope it will be mine
Call me tonight, and I'll
come to you
Anytime at all
Anytime at all
Anytime at all
All you've gotta do is call
And I'll be there
Anytime at all
Anytime at all
Anytime at all
All you've gotta do is call
And I'll be there
Anytime at all
All you've gotta do is call
And I'll be there"
29,0,Any Time It All,http://www.metrolyrics.com/any-time-it-all-lyrics-beatles.html,2006,
30,1,Anything,http://www.metrolyrics.com/anything-lyrics-beatles.html,2007,(Instrumental)
31,1,Anything You Need,http://www.metrolyrics.com/anything-you-need-lyrics-beatles.html,2012,
